cell_population,gene_id,gene_name,token_id
nTreg 0h,ENSG00000181847,TIGIT,14555
nTreg 0h,ENSG00000182010,RTKN2,14578
nTreg 0h,ENSG00000176928,GCNT4,13817
nTreg 0h,ENSG00000135655,USP15,7023
nTreg 0h,ENSG00000150347,ARID5B,9160
nTreg 0h,ENSG00000049768,FOXP3,668
nTreg 0h,ENSG00000196154,S100A4,16134
nTreg 0h,ENSG00000136111,TBC1D4,7113
nTreg 0h,ENSG00000023445,BIRC3,429
nTreg 0h,ENSG00000008517,IL32,226
nTreg 0h,ENSG00000163564,PYHIN1,10872
nTreg 0h,ENSG00000134460,IL2RA,6806
nTreg 0h,ENSG00000090104,RGS1,1857
nTreg 0h,ENSG00000100365,NCF4,2268
nTreg 0h,ENSG00000110324,IL10RA,3733
nTreg 0h,ENSG00000010810,FYN,274
nTreg 0h,ENSG00000030419,IKZF2,486
nTreg 0h,ENSG00000188404,SELL,15896
nTreg 0h,ENSG00000165996,HACD1,11540
nTreg 0h,ENSG00000100385,IL2RB,2275
nTreg 0h,ENSG00000028137,TNFRSF1B,469
nTreg 0h,ENSG00000080822,CLDND1,1503
nTreg 0h,ENSG00000203780,FANK1,16990
nTreg 0h,ENSG00000111640,GAPDH,3880
nTreg 0h,ENSG00000213719,CLIC1,17591
nTreg 0h,ENSG00000092820,EZR,1972
nTreg 0h,ENSG00000150093,ITGB1,9151
nTreg 0h,ENSG00000003147,ICA1,38
nTreg 0h,ENSG00000122862,SRGN,5265
nTreg 0h,ENSG00000101596,SMCHD1,2536
nTreg 0h,ENSG00000163599,CTLA4,10882
nTreg 0h,ENSG00000138185,ENTPD1,7521
nTreg 0h,ENSG00000135842,FAM129A,7056
nTreg 0h,ENSG00000149212,SESN3,9052
nTreg 0h,ENSG00000179344,HLA-DQB1,14204
nTreg 0h,ENSG00000128656,CHN1,5981
nTreg 0h,ENSG00000051108,HERPUD1,688
nTreg 0h,ENSG00000145675,PIK3R1,8606
nTreg 0h,ENSG00000121966,CXCR4,5169
nTreg 0h,ENSG00000204397,CARD16,17135
nTreg 0h,ENSG00000123411,IKZF4,5327
nTreg 0h,ENSG00000182718,ANXA2,14718
nTreg 0h,ENSG00000196126,HLA-DRB1,16125
nTreg 0h,ENSG00000157514,TSC22D3,9959
nTreg 0h,ENSG00000137642,SORL1,7394
nTreg 0h,ENSG00000054654,SYNE2,731
nTreg 0h,ENSG00000198846,TOX,16895
nTreg 0h,ENSG00000057657,PRDM1,774
nTreg 0h,ENSG00000167618,LAIR2,11930
nTreg 0h,ENSG00000078304,PPP2R5C,1415
nTreg 0h,ENSG00000160013,PTGIR,10249
nTreg 0h,ENSG00000154451,GBP5,9625
nTreg 0h,ENSG00000112486,CCR6,4032
nTreg 0h,ENSG00000095794,CREM,2033
nTreg 0h,ENSG00000223865,HLA-DPB1,17901
nTreg 0h,ENSG00000163565,IFI16,10873
nTreg 0h,ENSG00000186827,TNFRSF4,15577
nTreg 0h,ENSG00000131981,LGALS3,6432
nTreg 0h,ENSG00000163328,GPR155,10796
nTreg 0h,ENSG00000107796,ACTA2,3421
nTreg 0h,ENSG00000064601,CTSA,887
nTreg 0h,ENSG00000088986,DYNLL1,1793
nTreg 0h,ENSG00000140848,CPNE2,7915
nTreg 0h,ENSG00000158869,FCER1G,10124
nTreg 0h,ENSG00000107485,GATA3,3392
nTreg 0h,ENSG00000174255,ZNF80,13377
nTreg 0h,ENSG00000136810,TXN,7229
nTreg 0h,ENSG00000109046,WSB1,3586
nTreg 0h,ENSG00000051523,CYBA,693
nTreg 0h,ENSG00000164120,HPGD,11075
nTreg 0h,ENSG00000067082,KLF6,995
nTreg 0h,ENSG00000120875,DUSP4,5059
nTreg 0h,ENSG00000047410,TPR,620
nTreg 0h,ENSG00000231389,HLA-DPA1,18066
nTreg 0h,ENSG00000204977,TRIM13,17281
nTreg 0h,ENSG00000117318,ID3,4653
nTreg 0h,ENSG00000166750,SLFN5,11724
nTreg 0h,ENSG00000198814,GK,16872
nTreg 0h,ENSG00000197956,S100A6,16620
nTreg 0h,ENSG00000198937,CCDC167,16945
nTreg 0h,ENSG00000160271,RALGDS,10301
nTreg 0h,ENSG00000204475,NCR3,17155
nTreg 0h,ENSG00000186891,TNFRSF18,15593
nTreg 0h,ENSG00000204525,HLA-C,17172
nTreg 0h,ENSG00000172725,CORO1B,13096
nTreg 0h,ENSG00000139193,CD27,7677
nTreg 0h,ENSG00000160613,PCSK7,10347
nTreg 0h,ENSG00000196141,SPATS2L,16130
nTreg 0h,ENSG00000189007,ADAT2,16020
TN 0h,ENSG00000126353,CCR7,5743
TN 0h,ENSG00000173114,LRRN3,13172
TN 0h,ENSG00000189283,FHIT,16077
TN 0h,ENSG00000072110,ACTN1,1173
TN 0h,ENSG00000138795,LEF1,7634
TN 0h,ENSG00000183691,NOG,14917
TN 0h,ENSG00000188404,SELL,15896
TN 0h,ENSG00000070081,NUCB2,1095
TN 0h,ENSG00000157978,LDLRAP1,10008
TN 0h,ENSG00000204472,AIF1,17154
TN 0h,ENSG00000117632,STMN1,4703
TN 0h,ENSG00000139193,CD27,7677
